證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
1817,凱撒衛,193000,165,7146450,37.25,38.10,36.80,37.25,,0.0,37.25,3,37.30,1,10.64,
1902,台紙,508674,130,10148536,19.90,20.05,19.85,19.90,,0.0,19.90,33,19.95,1,16.72,
1903,士紙,1018,10,32365,31.80,31.80,31.80,31.80,+,0.5,31.30,1,31.80,1,0.00,
1904,正隆,1282261,667,26071669,20.40,20.45,20.25,20.30,-,0.05,20.30,19,20.35,37,5.88,
1905,華紙,659928,212,6596641,10.00,10.05,9.96,9.99,-,0.01,9.98,187,9.99,3,22.20,
1906,寶隆,2725125,"1,237",44603580,15.65,16.80,15.65,16.55,+,0.95,16.45,2,16.55,8,5.22,
1907,永豐餘,1128908,434,13758782,12.20,12.25,12.10,12.10,-,0.1,12.10,286,12.15,7,14.07,
1909,榮成,12932854,"4,811",232534384,18.00,18.40,17.60,17.80,-,0.15,17.75,17,17.80,166,10.85,
2002,中鋼,19625224,"5,868",497864004,25.30,25.50,25.20,25.50,+,0.2,25.45,58,25.50,"5,756",15.94,
2002A,中鋼特,78000,36,3577500,45.70,46.00,45.70,45.95,+,0.25,45.95,10,46.05,1,0.00,
2006,東和鋼鐵,456448,264,9309282,20.35,20.45,20.35,20.40,+,0.1,20.40,7,20.45,43,15.34,
2007,燁興,329475,89,1759758,5.40,5.43,5.31,5.38,-,0.07,5.36,3,5.38,5,269.00,
2008,高興昌,11373,5,140987,12.40,12.40,12.40,12.40,,0.0,12.35,3,12.40,3,0.00,
2009,第一銅,7028088,"2,688",78277647,11.00,11.55,10.85,10.85,+,0.1,10.85,31,10.90,8,28.55,
2010,春源,228971,72,2382548,10.45,10.50,10.35,10.45,,0.0,10.40,6,10.45,36,18.33,
2012,春雨,12339,11,260000,21.15,21.15,21.00,21.00,-,0.2,21.00,5,21.15,3,13.46,
2013,中鋼構,621949,390,16728582,27.10,27.30,26.75,26.75,-,0.25,26.75,33,26.80,1,50.47,
2014,中鴻,12871580,"2,576",155754310,12.25,12.30,11.95,12.10,-,0.05,12.05,132,12.10,146,4.80,
2015,豐興,101020,70,5961176,59.00,59.10,58.90,58.90,,0.0,58.90,9,59.20,15,11.26,
2017,官田鋼,168062,95,1359375,8.10,8.11,8.07,8.10,,0.0,8.09,14,8.10,22,12.66,
2020,美亞,107432,50,1581059,14.65,14.75,14.65,14.75,,0.0,14.65,25,14.75,94,8.83,
2022,聚亨,674480,243,4662168,6.92,6.93,6.90,6.91,-,0.01,6.91,1,6.92,29,26.58,
2023,燁輝,739734,307,7503304,10.20,10.20,10.10,10.10,-,0.1,10.10,170,10.15,85,19.80,
2024,志聯,329005,105,3297260,9.90,10.10,9.90,10.05,+,0.16,10.05,4,10.10,12,10.26,
2027,大成鋼,5070751,"2,427",223353494,44.25,44.25,43.80,44.00,+,0.15,44.00,98,44.05,3,9.00,
2028,威致,109214,73,984726,9.03,9.09,8.91,9.06,+,0.03,9.00,5,9.06,10,4.90,
2029,盛餘,126242,66,2603783,20.50,20.70,20.50,20.65,+,0.1,20.60,2,20.65,4,28.29,
2030,彰源,496511,212,6823209,13.80,13.85,13.65,13.75,+,0.05,13.70,3,13.75,44,5.95,
2031,新光鋼,1629035,743,53244224,32.85,32.90,32.50,32.55,-,0.15,32.55,35,32.60,12,5.98,
2032,新鋼,98033,43,892158,9.05,9.14,9.05,9.10,+,0.04,9.10,12,9.12,2,39.57,
2033,佳大,77000,41,731650,9.45,9.59,9.45,9.50,+,0.05,9.50,2,9.55,2,41.30,
2034,允強,655151,278,17005658,26.00,26.15,25.80,25.90,-,0.05,25.90,1,25.95,60,11.61,
2038,海光,127150,53,1042440,8.20,8.22,8.18,8.20,+,0.05,8.18,6,8.20,8,25.62,
2049,上銀,8130317,"6,186",2289212577,278.50,286.00,278.00,282.00,+,6.5,281.50,4,282.00,244,15.79,
2059,川湖,422000,380,140767500,333.00,337.00,331.00,332.50,+,2.5,330.50,1,333.00,3,19.67,
2062,橋椿,79253,52,2586371,32.30,33.00,32.30,32.65,+,0.35,32.65,2,32.70,1,41.86,
2069,運錩,438000,166,10709000,24.50,24.60,24.35,24.45,-,0.05,24.45,6,24.50,54,3.53,
2101,南港,1063146,492,29720196,28.00,28.30,27.65,27.80,-,0.2,27.80,56,27.90,10,75.14,
2102,泰豐,355176,126,3934538,11.10,11.10,11.05,11.05,-,0.05,11.05,88,11.10,9,0.00,
2103,台橡,595896,416,16826759,28.30,28.45,28.10,28.20,+,0.1,28.20,18,28.25,1,20.43,
2104,國際中橡,4371621,"3,023",189866706,43.40,43.70,43.20,43.60,+,0.25,43.60,48,43.65,56,10.05,
2105,正新,4711625,"1,931",208236599,43.60,44.75,43.45,44.05,+,0.45,44.05,48,44.15,1,37.02,
2106,建大,467370,296,14050879,29.80,30.25,29.80,30.25,+,0.4,30.20,3,30.25,4,44.49,
2107,厚生,377282,209,6374903,16.95,16.95,16.85,16.85,,0.0,16.85,39,16.95,85,32.40,
2108,南帝,1185733,773,37839651,32.25,32.30,31.60,31.95,-,0.3,31.95,2,32.00,8,10.58,
2109,華豐,128460,84,1602295,12.60,12.60,12.40,12.40,-,0.1,12.40,28,12.50,40,0.00,
2114,鑫永銓,4000,4,331600,83.00,83.00,82.80,82.80,-,0.2,82.80,1,82.90,1,13.08,
2115,六暉-KY,18082,15,663155,36.70,36.80,36.50,36.65,-,0.05,36.50,1,36.70,3,15.87,
2201,裕隆,1387810,667,26344652,19.00,19.05,18.95,18.95,-,0.05,18.95,101,19.00,596,16.34,
2204,中華,505364,342,12189200,24.15,24.20,24.05,24.15,+,0.05,24.10,44,24.15,2,8.91,
2206,三陽工業,320433,156,6426898,20.05,20.10,19.95,20.10,+,0.05,20.05,13,20.10,28,10.52,
2207,和泰車,823224,774,273864972,332.50,338.00,329.00,329.00,-,1.0,329.00,2,329.50,3,17.96,
2208,台船,6680423,"2,788",196331095,29.60,30.15,28.70,28.80,-,0.55,28.80,52,28.90,14,0.00,
2227,裕日車,193240,190,46730800,237.50,244.00,237.50,240.50,+,3.0,240.50,10,241.00,1,11.95,
2228,劍麟,134000,111,11857500,89.00,89.10,88.00,88.00,-,1.0,88.00,6,88.20,1,11.56,
2231,為升,821055,752,267743123,328.50,330.50,322.00,322.00,-,6.5,322.00,5,323.00,1,33.89,
2236,百達-KY,25000,12,777350,31.20,31.20,31.00,31.00,-,0.4,30.95,6,31.30,1,10.40,
2239,英利-KY,81200,67,10555200,130.00,130.50,129.50,130.50,+,0.5,130.00,3,130.50,8,11.59,
2243,宏旭-KY,5000,3,88850,17.75,17.80,17.75,17.80,+,0.25,17.60,2,17.70,1,15.61,
2301,光寶科,8740500,"4,124",411902700,46.60,47.50,46.55,47.20,+,0.8,47.15,75,47.20,5,14.17,
2302,麗正,1230694,432,13372054,10.70,11.20,10.60,10.70,+,0.15,10.70,5,10.75,23,107.00,
2303,聯電,31765810,"6,070",370786256,11.65,11.75,11.60,11.65,,0.0,11.65,"1,709",11.70,"3,794",13.55,
2305,全友,310950,126,2119597,6.74,6.86,6.74,6.83,+,0.1,6.80,6,6.83,17,0.00,
2308,台達電,7575348,"3,749",1160556552,154.00,154.00,152.50,152.50,-,1.5,152.50,290,153.00,105,23.43,
2312,金寶,2071130,574,23518716,11.40,11.40,11.30,11.35,-,0.05,11.35,47,11.40,118,45.40,
2313,華通,10632308,"3,512",243911607,23.00,23.15,22.80,23.05,+,0.05,23.00,251,23.05,65,8.54,
2314,台揚,1239427,690,26356386,21.75,21.75,21.05,21.05,-,0.55,21.05,75,21.10,1,100.24,
2316,楠梓電,2059900,701,39109659,19.20,19.30,18.80,18.80,-,0.35,18.80,58,18.95,56,21.86,
2317,鴻海,21006421,"9,010",1535828357,73.60,73.80,72.80,72.80,-,0.6,72.70,613,72.80,93,7.31,
2321,東訊,40520,18,123027,3.05,3.05,3.00,3.00,,0.0,3.00,18,3.07,2,0.00,
2323,中環,9019752,"2,030",61503447,6.91,6.92,6.77,6.78,-,0.12,6.78,79,6.79,6,0.00,
2324,仁寶,27010996,"7,340",506679583,18.55,18.90,18.50,18.80,+,0.35,18.80,"1,014",18.85,94,8.78,
2327,國巨,13783851,"9,538",5226988473,376.00,386.50,372.00,372.00,-,3.0,372.00,123,372.50,1,4.84,
2328,廣宇,4370637,"1,822",94509834,21.45,22.05,21.20,21.95,+,0.55,21.90,10,21.95,19,9.98,
2329,華泰,6304028,"1,970",89497412,14.70,14.70,13.80,14.10,-,0.55,14.10,70,14.15,58,0.00,
