<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.02.22	05:00:00	1.05520	1.05521	1.05439	1.05467	3096	3252012000	10
2017.02.22	06:00:00	1.05467	1.05471	1.05434	1.05451	2481	2307407000	10
2017.02.22	07:00:00	1.05451	1.05453	1.05425	1.05443	2215	2119716000	9
2017.02.22	08:00:00	1.05442	1.05448	1.05194	1.05261	4734	4289384000	9
2017.02.22	09:00:00	1.05262	1.05284	1.05048	1.05080	6621	5476564000	8
2017.02.22	10:00:00	1.05080	1.05116	1.04973	1.05016	7685	6204853000	7
2017.02.22	11:00:00	1.05015	1.05195	1.05009	1.05085	7804	5755712000	7
2017.02.22	12:00:00	1.05086	1.05103	1.04938	1.05058	6847	5062123000	7
2017.02.22	13:00:00	1.05059	1.05075	1.04933	1.04989	5816	5038508000	7
2017.02.22	14:00:00	1.04989	1.05136	1.04953	1.05134	5436	4426283000	8
2017.02.22	15:00:00	1.05135	1.05167	1.05073	1.05140	6285	5320948000	7
2017.02.22	16:00:00	1.05141	1.05207	1.05058	1.05069	6929	5725129000	7
2017.02.22	17:00:00	1.05069	1.05491	1.04958	1.05482	11916	8933784000	7
2017.02.22	18:00:00	1.05482	1.05592	1.05321	1.05541	8788	7052189000	8
2017.02.22	19:00:00	1.05541	1.05652	1.05426	1.05461	5985	5383681000	9
2017.02.22	20:00:00	1.05461	1.05482	1.05336	1.05371	4635	4523715000	8
2017.02.22	21:00:00	1.05366	1.05721	1.05286	1.05704	9984	8736952000	9
2017.02.22	22:00:00	1.05706	1.05737	1.05657	1.05658	4053	3439136000	10
2017.02.22	23:00:00	1.05658	1.05699	1.05560	1.05573	2147	1514115000	11
2017.02.23	00:00:00	1.05547	1.05615	1.05497	1.05557	2471	1926575000	41
2017.02.23	01:00:00	1.05556	1.05576	1.05448	1.05501	2456	1577092000	11
2017.02.23	02:00:00	1.05501	1.05527	1.05437	1.05513	4329	3553308000	10
2017.02.23	03:00:00	1.05514	1.05555	1.05490	1.05521	4080	3844780000	9
2017.02.23	04:00:00	1.05522	1.05542	1.05473	1.05536	3312	3230593000	10
2017.02.23	05:00:00	1.05536	1.05667	1.05518	1.05660	3340	3269983000	9
2017.02.23	06:00:00	1.05660	1.05668	1.05597	1.05621	2521	2450081000	10
2017.02.23	07:00:00	1.05621	1.05720	1.05615	1.05655	3199	3067878000	10
2017.02.23	08:00:00	1.05656	1.05670	1.05524	1.05576	3767	3629475000	10
2017.02.23	09:00:00	1.05573	1.05604	1.05375	1.05539	6527	5291588000	8
2017.02.23	10:00:00	1.05538	1.05643	1.05492	1.05531	5677	4379048000	8
2017.02.23	11:00:00	1.05532	1.05589	1.05390	1.05462	6146	4487729000	8
2017.02.23	12:00:00	1.05463	1.05504	1.05373	1.05458	4861	4170876000	7
2017.02.23	13:00:00	1.05458	1.05558	1.05398	1.05520	4712	3546595000	8
2017.02.23	14:00:00	1.05521	1.05693	1.05472	1.05681	8242	5779443000	8
