author,date,href,push,title
ccscott, 2/26,/bbs/movie/M.1551166732.A.C31.html,43,[討論] 為什麼沒有《瘋狂亞洲富豪》
ffreakk, 2/26,/bbs/movie/M.1551167679.A.C71.html,2,[問片] 有心理醫生角色的舊片(喜劇
conpo, 2/26,/bbs/movie/M.1551167869.A.651.html,"(None,)",[新聞] 這個機上安全影片有趣！ 土航新版樂高電
g8toobig, 2/26,/bbs/movie/M.1551170231.A.ED0.html,13,[請益] 關於4DX七龍珠布羅利問題
oylq2000, 2/26,/bbs/movie/M.1551171459.A.B5E.html,12,[好雷] 信任與背叛──觀《九降風》
Gotham, 2/26,/bbs/movie/M.1551171755.A.504.html,31,[新聞] 沒了主持人奧斯卡表現更好 收視率5年首度
Leticiao, 2/26,/bbs/movie/M.1551173047.A.4BF.html,43,[好微雷] 戰鬥天使艾莉塔
ATCTaiwan, 2/25,/bbs/movie/M.1551102048.A.851.html,"(None,)",[新聞] 《小資女孩奮鬥記：遊樂園的奇蹟》波瑠敬
No3ad, 2/25,/bbs/movie/M.1551102372.A.C69.html,14,[好雷] 綠色奇蹟 
Gotham, 2/25,/bbs/movie/M.1551103100.A.FBE.html,20,[新聞] 科幻片艾莉塔登票房冠軍 3週近2.5億
-, 2/25,"(None,)",2,"(None,)"
peter220, 2/25,/bbs/movie/M.1551103664.A.430.html,8,"[討論] 奧斯卡獲提名影片,三影評網站不同排序"
benbenson12, 2/25,/bbs/movie/M.1551104250.A.70F.html,7,[好雷]《梵谷：在永恆之門》一位悲傷孤獨但溫柔的梵谷 
wow4brian, 2/25,/bbs/movie/M.1551105226.A.A74.html,18,[討論] 七龍珠超 布羅利 時間軸
inbow, 2/25,/bbs/movie/M.1551106080.A.9FC.html,14,[問片] 偷喝飲料的電影
a9a99, 2/25,/bbs/movie/M.1551107251.A.B48.html,8,[請益]  羅馬為什麼不能只報最佳影片？
vupmp6, 2/25,/bbs/movie/M.1551109702.A.BB0.html,7,[新聞] 首奪小金人太嗨！新科影帝馬利克慘跌舞台
cshu0520, 2/25,/bbs/movie/M.1551109825.A.AD7.html,13,[負雷] 艾莉塔 幾個角色的心境轉換
aaa013008, 2/26,/bbs/movie/M.1551111025.A.962.html,1,[問片] 沙漠旅行
moneybuy, 2/26,/bbs/movie/M.1551111245.A.017.html,5,[新聞] 《一屍到底》特別篇預告曝光　3/2開播網
Inzaghi0227, 2/26,/bbs/movie/M.1551117063.A.E6E.html,1,Re: [請益] 祝你忌日快樂的一些問題
CIwater, 2/26,/bbs/movie/M.1551117475.A.3DF.html,6,[  好雷] 《雞不可失》絕對不是浮誇好雷
LittleDiDi, 2/26,/bbs/movie/M.1551122247.A.281.html,27,[好雷] 大君主行動 - 偽活屍的爆米花佳作
prank198671, 2/26,/bbs/movie/M.1551130614.A.454.html,6,[新聞] 周星馳號召力和影響力還在，《新喜劇之
mysmalllamb, 2/26,/bbs/movie/M.1551131903.A.57F.html,5,[好雷] 芭蕾少女夢 Girl
KiwiSoda01, 2/26,/bbs/movie/M.1551139480.A.C0F.html,16,[片單] 身為記者的衝突
beeb0513, 2/26,/bbs/movie/M.1551140069.A.0C1.html,1,[問片] 某一部電影，警察在警局被犯人挾持（有雷
zzauber, 2/25,/bbs/movie/M.1551087848.A.B8D.html,5,[好雷] 祝你忌日快樂 Happy Death Day 2U
ulin0619, 2/25,/bbs/movie/M.1551089081.A.394.html,7,[問片] 跟船和年輕人有關的鬼片
TheRipper, 2/25,/bbs/movie/M.1551089687.A.BE3.html,1,[好雷] 嬰魂不散 - 有小孩的人別看
HEHEHEHEHE, 2/25,/bbs/movie/M.1551090553.A.9A5.html,17,[片單] 找主角是思覺神經失調的電影
u10400068, 2/25,/bbs/movie/M.1551090775.A.3DD.html,5,Fw: [情報] 七龍珠超布羅利全台票房破千萬
Ganso, 2/25,/bbs/movie/M.1551090890.A.EA8.html,5,[討論] 粽邪 超時空拍攝
hahaha0204, 2/25,/bbs/movie/M.1551092090.A.442.html,64,[新聞] 幸福綠皮書獲最佳影片 史派克李諷烏龍判
simplemurmur, 2/25,/bbs/movie/M.1551092281.A.523.html,5,[好雷] 以你的名字呼喚我
IS5F5566, 2/25,/bbs/movie/M.1551093388.A.911.html,3,Re: [新聞] 《Ambiance》將挑戰影史上最長電影紀錄
gn01982027, 2/25,/bbs/movie/M.1551093729.A.155.html,4,[請益] 七龍珠超 布羅利 的問題
Greein, 2/25,/bbs/movie/M.1551094143.A.318.html,爆,[新聞] 2019奧斯卡最爭議的最佳影片 幸福綠皮書
khpr1007, 2/25,/bbs/movie/M.1551096745.A.08B.html,2,[情報]原罪犯 殺人回憶 Google Play 特價NT$139
chieorz, 2/25,/bbs/movie/M.1551096751.A.59D.html,"(None,)",[問片] 出現過Chara的My way
kanoutooru, 2/25,/bbs/movie/M.1551097411.A.1B1.html,11,[好雷] 七月與安生 
haehae311444, 2/25,/bbs/movie/M.1551098684.A.E4B.html,17,[新聞] 奧斯卡獎宣傳恐花上億 Netflix仍願競逐
haehae311444, 2/25,/bbs/movie/M.1551099047.A.ADF.html,X8,[新聞] 「韓流發威助攻！包子奪奧斯卡最佳動畫短
NEKObus, 2/25,/bbs/movie/M.1551100462.A.C7C.html,14,[好雷] 《羅馬》：美好的回憶是他的神
pepe12301, 2/25,/bbs/movie/M.1551100609.A.8E7.html,17,[新聞] 《雞不可失》全台破千萬奪冠！韓國小姐爆
IsRabbit, 2/25,/bbs/movie/M.1551101767.A.CE5.html,13,Re: [討論] 美國電影都是怎麼栽培演員的演技的呢?
ATCTaiwan, 2/25,/bbs/movie/M.1551101949.A.AA4.html,2,[新聞] 有村架純火車駕駛技術只給30分【家族的
