證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
3059,華晶科,3840559,"1,865",107372298,27.75,28.50,27.55,27.55,-,0.1,27.50,158,27.55,9,275.50,
3060,銘異,1915522,887,33999488,17.00,18.20,16.95,18.00,+,1.1,18.00,27,18.05,1,0.00,
3062,建漢,202042,96,3125608,15.55,15.55,15.40,15.40,-,0.15,15.35,21,15.40,3,30.20,
3090,日電貿,3069488,"2,197",189214602,61.50,62.40,61.10,61.10,-,0.1,61.10,94,61.20,2,8.53,
3094,聯傑,23029,25,454822,19.65,19.90,19.65,19.65,-,0.1,19.65,8,19.70,2,35.73,
3130,一零四,214,9,35843,--,--,--,--,,0.0,164.50,2,168.00,1,18.21,
3149,正達,490559,160,5549669,11.35,11.45,11.20,11.35,,0.0,11.35,76,11.40,5,0.00,
3164,景岳,337074,172,9971785,30.20,30.20,29.00,29.65,-,0.55,29.60,14,29.65,1,25.34,
3167,大量,127000,73,5826550,46.20,46.50,45.70,46.00,-,0.05,45.90,2,46.05,1,7.69,
3189,景碩,7048588,"4,084",381119478,54.60,55.10,53.10,53.20,-,1.4,53.10,60,53.20,6,59.78,
3209,全科,58058,57,1069414,18.45,18.50,18.35,18.35,-,0.1,18.35,40,18.40,2,10.43,
3229,晟鈦,232000,143,4369450,19.40,19.40,18.50,18.75,-,0.65,18.75,3,19.00,39,0.00,
3231,緯創,8030592,"3,329",159709640,20.00,20.05,19.80,19.85,-,0.05,19.80,612,19.85,97,13.32,
3257,虹冠電,251240,169,11985339,48.55,48.55,46.80,46.80,-,2.7,46.80,13,47.30,1,26.90,
3266,昇陽,115000,45,1296700,11.35,11.35,11.20,11.30,-,0.05,11.25,51,11.30,4,18.83,
3296,勝德,2070,3,30436,14.70,14.70,14.70,14.70,,0.0,14.55,4,14.65,5,0.00,
3305,昇貿,19628,20,425182,21.55,21.85,21.55,21.55,,0.0,21.55,2,21.80,2,55.26,
3308,聯德,64000,20,497760,7.70,7.80,7.66,7.75,+,0.05,7.75,2,7.79,1,0.00,
3311,閎暉,179000,98,2782300,15.65,15.65,15.40,15.55,-,0.1,15.50,18,15.60,18,0.00,
3312,弘憶股,242400,133,2957408,12.35,12.35,12.10,12.15,-,0.15,12.10,101,12.15,4,8.62,
3321,同泰,39000,27,584750,15.00,15.10,14.70,14.90,-,0.2,14.70,6,14.90,1,0.00,
3338,泰碩,1027426,633,24776726,24.35,24.70,23.75,24.70,+,0.35,24.60,1,24.70,1,79.68,
3346,麗清,94047,57,4340759,46.40,46.40,46.00,46.05,-,0.65,46.05,40,46.20,2,13.12,
3356,奇偶,122642,106,3412352,28.20,28.20,27.50,27.60,-,0.6,27.60,5,27.70,1,0.00,
3376,新日興,179650,141,15391509,87.00,87.00,85.40,85.40,-,1.4,85.30,20,85.40,4,19.54,
3380,明泰,560834,352,9109899,16.45,16.45,16.15,16.20,-,0.2,16.20,1,16.25,2,"1,620.00",
3383,新世紀,136017,46,356836,2.50,2.75,2.50,2.67,+,0.17,2.53,10,2.60,1,0.00,
3406,玉晶光,3532401,"2,976",1140735122,326.00,329.50,317.00,317.00,-,5.0,316.50,21,317.00,1,25.00,
